z1,z2,z3,z4,z5,z6,z7,z8,window,source,cluster
-0.22576195,0.81908405,-0.44538093,-0.63223785,-0.43099794,-0.57012063,-1.1040907,-0.8405161,61,十河2人目緊張VID20250616120010.csv,0
-0.44630748,0.4360639,-0.4002652,0.51294917,0.42991877,0.39185467,-0.547219,0.048614196,168,水谷2人目_リラックス.csv,0
0.6135648,1.1682422,-1.4200032,0.47911894,1.012412,1.385025,-1.2439951,-0.7077075,49,十河1人目嬉しいVID20250616115335.csv,0
-0.28128785,-0.96590483,-0.10038577,0.17833836,-0.44024754,-0.42471224,-0.42503354,0.10620954,86,水谷1人目_緊張.csv,1
-0.87508136,-1.1179314,-0.4151437,0.11309371,0.053164545,0.54252756,-0.6217627,0.013311839,47,水谷1人目_悲しい.csv,1
0.3359221,-0.47657612,-0.05214169,0.29226252,-0.99655575,0.0034082215,-0.7000544,0.42960566,30,十河4人目悲しいVID20250616120318.csv,1
1.1953522,0.1067696,-0.38525072,0.81015414,0.11576507,1.5554541,0.75966954,1.7705312,13,比嘉2人目緊張.csv,2
1.2991016,0.22136003,-0.26816112,0.61305106,-0.020298062,1.7748016,0.44327945,1.5142621,62,比嘉2人目緊張.csv,2
1.0130821,0.26553562,-0.7482908,0.77551603,-1.0444297,1.6833076,1.1075644,0.80632675,17,比嘉2人目悲しい.csv,2
-0.12313016,-0.9261898,-0.32283273,-0.61153364,0.7307903,-0.9400921,-0.8610629,0.46899444,159,水谷2人目_嬉しい.csv,3
0.16349159,-0.8910956,-0.6310185,0.7906389,0.36718845,-0.4171104,-0.9138487,-0.34371483,128,水谷2人目_緊張.csv,3
0.24243037,-1.2211272,0.6252592,0.018126654,0.8913414,-0.943452,-1.7999327,-0.9890552,57,水谷2人目_嬉しい.csv,3
0.67256904,0.9115292,-0.9824053,-0.66350496,0.32732886,-0.5930913,1.7071632,-0.8880704,96,十河.csv,4
-0.17479202,-0.24829246,-0.5176323,-0.19493522,-0.69938546,-0.5040251,0.043184955,0.7529137,58,十河4人目悲しいVID20250616120318.csv,4
0.344349,1.2050555,0.11306143,1.047175,-0.13054997,-0.043422714,-0.15275754,0.61301404,35,十河1人目緊張VID20250616115419.csv,4
0.32675627,0.550457,-1.425245,0.1408791,-1.1047001,1.972724,0.14318159,0.17110825,49,比嘉2人目嬉しい.csv,5
0.9102177,0.8638764,-1.202789,-0.041212797,-1.6417701,1.6748763,0.63228273,-0.064671844,134,比嘉2人目緊張.csv,5
1.0438766,0.64134306,-1.0358331,0.63861746,-0.9124747,2.2055125,0.53526515,0.3458422,67,比嘉2人目悲しい.csv,5
0.3158259,0.70043296,0.96977377,0.83557564,1.5862882,-0.52280897,0.3727965,-1.1874884,101,水谷.csv,6
-0.57377243,0.14245903,1.2310728,-0.17524533,-0.029003633,-0.56010514,-0.7239503,0.3181461,14,十河2人目リラックスVID20250616120023.csv,6
-0.79263514,0.2963832,1.3516802,-0.89476347,0.9575408,0.12131804,-1.2962146,-0.23612355,43,十河3人目嬉しいVID20250616120042.csv,6
0.2557889,0.4375597,1.0838592,-0.30255905,-1.0330585,0.8202709,-0.23511383,0.85945946,42,比嘉1人目悲しい.csv,7
-0.6225341,0.9428758,0.25638273,-0.79230833,-1.6370685,-0.053230535,-0.0827997,0.36772025,53,比嘉1人目通常.csv,7
0.10123716,0.18854393,0.9552998,0.3943738,-0.9331536,0.69828445,-0.25885627,0.49085662,3,比嘉1人目悲しい.csv,7
